level_0,index,ts,T,H,PMS1,PMS2_5,PMS10,CO2,NO2,CO,VoC,C2H5OH,ID,Loc,Customer,Ph,Valid,Valid_CO2,bkps
2243,2243,2023-06-22 00:37:23,27.5,41.5,10.0,16.0,18.0,947.0,430.0,138.0,548.0,655.0,121.0,Study Desk,A5,XXXX,1,1,0
2244,2244,2023-06-22 00:37:24,27.5,41.5,10.0,16.0,18.0,947.0,430.0,138.0,548.0,655.0,121.0,Study Desk,A5,XXXX,1,1,0
2245,2245,2023-06-22 00:37:25,27.5,41.5,10.0,16.0,18.0,947.0,430.0,138.0,548.0,655.0,121.0,Study Desk,A5,XXXX,1,1,0
2246,2246,2023-06-22 00:37:26,27.5,41.5,10.0,16.0,18.0,947.0,430.0,138.0,548.0,655.0,121.0,Study Desk,A5,XXXX,1,1,0
2247,2247,2023-06-22 00:37:27,27.5,41.5,10.0,16.0,18.0,947.0,430.0,138.0,548.0,655.0,121.0,Study Desk,A5,XXXX,1,1,0
2248,2248,2023-06-22 00:37:28,27.5,41.5,10.0,16.0,18.0,947.0,430.0,138.0,548.0,655.0,121.0,Study Desk,A5,XXXX,1,1,0
2249,2249,2023-06-22 00:37:29,27.5,41.5,10.0,16.0,18.0,947.0,430.0,138.0,548.0,655.0,121.0,Study Desk,A5,XXXX,1,1,0
2250,2250,2023-06-22 00:37:30,27.5,41.5,10.0,16.0,18.0,947.0,430.0,138.0,548.0,655.0,121.0,Study Desk,A5,XXXX,1,1,0
2251,2251,2023-06-22 00:37:31,27.5,41.5,10.0,16.0,18.0,947.0,430.0,138.0,548.0,655.0,121.0,Study Desk,A5,XXXX,1,1,0
2252,2252,2023-06-22 00:37:32,27.5,41.5,10.0,16.0,18.0,947.0,430.0,138.0,548.0,655.0,121.0,Study Desk,A5,XXXX,1,1,0
2253,2253,2023-06-22 00:37:33,27.5,41.5,10.0,16.0,18.0,947.0,430.0,138.0,548.0,655.0,121.0,Study Desk,A5,XXXX,1,1,0
2254,2254,2023-06-22 00:37:34,27.5,41.5,10.0,16.0,18.0,947.0,430.0,138.0,548.0,655.0,121.0,Study Desk,A5,XXXX,1,1,0
2255,2255,2023-06-22 00:37:35,27.5,41.5,10.0,16.0,18.0,947.0,430.0,138.0,548.0,655.0,121.0,Study Desk,A5,XXXX,1,1,0
2256,2256,2023-06-22 00:37:36,27.5,41.5,10.0,16.0,18.0,947.0,430.0,138.0,548.0,655.0,121.0,Study Desk,A5,XXXX,1,1,0
2257,2257,2023-06-22 00:37:37,27.5,41.5,10.0,16.0,18.0,947.0,430.0,138.0,548.0,655.0,121.0,Study Desk,A5,XXXX,1,1,0
2258,2258,2023-06-22 00:37:38,27.5,41.5,10.0,16.0,18.0,947.0,430.0,138.0,548.0,655.0,121.0,Study Desk,A5,XXXX,1,1,0
2259,2259,2023-06-22 00:37:39,27.5,41.5,10.0,16.0,18.0,947.0,430.0,138.0,548.0,655.0,121.0,Study Desk,A5,XXXX,1,1,0
2260,2260,2023-06-22 00:37:40,27.5,41.5,10.0,16.0,18.0,947.0,430.0,138.0,548.0,655.0,121.0,Study Desk,A5,XXXX,1,1,0
2261,2261,2023-06-22 00:37:41,27.5,41.5,10.0,16.0,18.0,947.0,430.0,138.0,548.0,655.0,121.0,Study Desk,A5,XXXX,1,1,0
2262,2262,2023-06-22 00:37:42,27.5,41.5,10.0,16.0,18.0,947.0,430.0,138.0,548.0,655.0,121.0,Study Desk,A5,XXXX,1,1,0
2263,2263,2023-06-22 00:37:43,27.5,41.5,10.0,16.0,18.0,947.0,430.0,138.0,548.0,655.0,121.0,Study Desk,A5,XXXX,1,1,0
2264,2264,2023-06-22 00:37:44,27.5,41.5,10.0,16.0,18.0,947.0,430.0,138.0,548.0,655.0,121.0,Study Desk,A5,XXXX,1,1,0
2265,2265,2023-06-22 00:37:45,27.5,41.5,10.0,16.0,18.0,947.0,430.0,138.0,548.0,655.0,121.0,Study Desk,A5,XXXX,1,1,0
2266,2266,2023-06-22 00:37:46,27.5,41.5,10.0,16.0,18.0,947.0,430.0,138.0,548.0,655.0,121.0,Study Desk,A5,XXXX,1,1,0
2267,2267,2023-06-22 00:37:47,27.5,41.5,10.0,16.0,18.0,947.0,430.0,138.0,548.0,655.0,121.0,Study Desk,A5,XXXX,1,1,0
2268,2268,2023-06-22 00:37:48,27.5,41.5,10.0,16.0,18.0,947.0,430.0,138.0,548.0,655.0,121.0,Study Desk,A5,XXXX,1,1,0
2269,2269,2023-06-22 00:37:49,27.5,41.5,10.0,16.0,18.0,947.0,430.0,138.0,548.0,655.0,121.0,Study Desk,A5,XXXX,1,1,0
2270,2270,2023-06-22 00:37:50,27.5,41.5,10.0,16.0,18.0,947.0,430.0,138.0,548.0,655.0,121.0,Study Desk,A5,XXXX,1,1,0
2271,2271,2023-06-22 00:37:51,27.5,41.5,10.0,16.0,18.0,947.0,430.0,138.0,548.0,655.0,121.0,Study Desk,A5,XXXX,1,1,0
2272,2272,2023-06-22 00:37:52,27.5,41.5,10.0,16.0,18.0,947.0,430.0,138.0,548.0,655.0,121.0,Study Desk,A5,XXXX,1,1,0
2273,2273,2023-06-22 00:37:53,27.5,41.5,10.0,16.0,18.0,947.0,430.0,138.0,548.0,655.0,121.0,Study Desk,A5,XXXX,1,1,0
2274,2274,2023-06-22 00:37:54,27.5,41.5,10.0,16.0,18.0,947.0,430.0,138.0,548.0,655.0,121.0,Study Desk,A5,XXXX,1,1,0
